# Parameters: L=350.0, E=3.0, rs=30.0, N=10.0, xi=30.0
r,f,Lc,pf
1.491441441441441462e+01,1.073104025909229209e-01,2.163827937307149227e+02,4.453906875647020147e-01
1.526126126126126081e+01,1.085142455373321463e-01,2.190535720252478598e+02,4.364880932494895616e-01
1.560810810810810878e+01,1.097079525128645816e-01,2.216897988853197603e+02,4.277006703827145317e-01
1.595495495495495497e+01,1.108922640306965468e-01,2.242918265097069650e+02,4.190272449682375666e-01
1.630180180180180116e+01,1.120678799853969537e-01,2.268599898294573052e+02,4.104667005692281267e-01
1.664864864864864913e+01,1.132354630852080019e-01,2.293946074379314837e+02,4.020179752078170687e-01
1.699549549549549710e+01,1.143956419413110631e-01,2.318959824771706337e+02,3.936800584105305534e-01
1.734234234234234151e+01,1.155490138536112293e-01,2.343644034824085907e+02,3.854519883932527313e-01
1.768918918918918948e+01,1.166961473275083400e-01,2.368001451871618031e+02,3.773328493775912618e-01
1.803603603603603744e+01,1.178375843515855614e-01,2.392034692912885703e+02,3.693217690306820900e-01
1.838288288288288186e+01,1.189738424622373836e-01,2.415746251940454385e+02,3.614179160209307073e-01
1.872972972972972983e+01,1.201054166184492289e-01,2.439138506966789635e+02,3.536204976789495968e-01
1.907657657657657779e+01,1.212327809056173711e-01,2.462213726713568178e+02,3.459287577634891364e-01
1.942342342342342221e+01,1.223563900873558680e-01,2.484974077059327442e+02,3.383419743150362091e-01
1.977027027027027017e+01,1.234766810195954551e-01,2.507421627211864177e+02,3.308594575976572805e-01
2.011711711711711814e+01,1.245940739409756443e-01,2.529558355647194787e+02,3.234805481193459009e-01
2.046396396396396611e+01,1.257089736514268585e-01,2.551386155830448388e+02,3.162046147250582306e-01
2.081081081081081052e+01,1.268217705895272884e-01,2.572906841736630668e+02,3.090310527564579801e-01
2.115765765765765849e+01,1.279328418180087357e-01,2.594122153188117181e+02,3.019592822727525383e-01
2.150450450450450646e+01,1.290425519257308307e-01,2.615033761024742489e+02,2.949887463273290766e-01
2.185135135135135087e+01,1.301512538534962404e-01,2.635643272118031177e+02,2.881189092953707065e-01
2.219819819819819884e+01,1.312592896504061468e-01,2.655952234266096639e+02,2.813492552470995278e-01
2.254504504504504681e+01,1.323669911662594401e-01,2.675962140913958933e+02,2.746792863645789451e-01
2.289189189189189122e+01,1.334746806858257417e-01,2.695674435824665238e+02,2.681085213944358614e-01
2.323873873873873919e+01,1.345826715090750469e-01,2.715090517594291555e+02,2.616364941365042496e-01
2.358558558558558715e+01,1.356912684819056303e-01,2.734211744115109468e+02,2.552627519628465347e-01
2.393243243243243157e+01,1.368007684809923463e-01,2.753039436908811695e+02,2.489868543648860733e-01
2.427927927927927954e+01,1.379114608561753663e-01,2.771574885426569494e+02,2.428083715255679731e-01
2.462612612612612750e+01,1.390236278333781827e-01,2.789819351260218809e+02,2.367268829142806785e-01
2.497297297297297547e+01,1.401375448808009072e-01,2.807774072296210193e+02,2.307419759022090733e-01
2.531981981981981988e+01,1.412534810408309360e-01,2.825440266815753034e+02,2.248532443962666660e-01
2.566666666666666785e+01,1.423716992299776385e-01,2.842819137536051244e+02,2.190602874895001828e-01
2.601351351351351582e+01,1.434924565086460047e-01,2.859911875621691024e+02,2.133627081276124327e-01
2.636036036036036023e+01,1.446160043228307823e-01,2.876719664637069513e+02,2.077601117891373084e-01
2.670720720720720820e+01,1.457425887192188019e-01,2.893243684466352192e+02,2.022521051793531588e-01
2.705405405405405617e+01,1.468724505352904386e-01,2.909485115193385809e+02,1.968382949369765766e-01
2.740090090090090058e+01,1.480058255658478761e-01,2.925445140941673685e+02,1.915182863531849078e-01
2.774774774774774855e+01,1.491429447070285463e-01,2.941124953689077870e+02,1.862916821039840853e-01
2.809459459459459651e+01,1.502840340741782854e-01,2.956525757309608480e+02,1.811580810174598100e-01
2.844144144144144093e+01,1.514293151263934045e-01,2.971648770131095603e+02,1.761170767350161426e-01
2.878828828828828890e+01,1.525790047180564935e-01,2.986495230421460860e+02,1.711682566290469998e-01
2.913513513513513686e+01,1.537333151866316361e-01,3.001066398806365783e+02,1.663112004910101693e-01
2.948198198198198128e+01,1.548924543963055289e-01,3.015363562172967136e+02,1.615454793585282267e-01
2.982882882882882924e+01,1.560566257709190829e-01,3.029388037209231470e+02,1.568706543356266636e-01
3.017567567567567721e+01,1.572260283116538593e-01,3.043141173884453110e+02,1.522862754325519374e-01
3.052252252252252163e+01,1.584008566003311802e-01,3.056624358864839905e+02,1.477918804272503051e-01
3.086936936936936959e+01,1.595813007891716540e-01,3.069839018857106225e+02,1.433869937508333858e-01
3.121621621621621756e+01,1.607675465778540258e-01,3.082786623872403879e+02,1.390711253996066710e-01
3.156306306306306553e+01,1.619597751787158202e-01,3.095468690402158813e+02,1.348437698764618498e-01
3.190990990990990994e+01,1.631581632707197194e-01,3.107886784503674562e+02,1.307044051654170647e-01
3.225675675675675791e+01,1.643628829433376182e-01,3.120042524775681159e+02,1.266524917414164342e-01
3.260360360360360232e+01,1.655741016329919935e-01,3.131937585160494564e+02,1.226874716131472060e-01
3.295045045045045384e+01,1.667919820473673653e-01,3.143573697736593999e+02,1.188087674211155131e-01
3.329729729729729826e+01,1.680166820850086673e-01,3.154952655282378942e+02,1.150157815725219163e-01
3.364414414414414267e+01,1.692483547476445749e-01,3.166076313713348327e+02,1.113078954288667377e-01
3.399099099099099419e+01,1.704871480469169198e-01,3.176946594356905393e+02,1.076844685476824742e-01
3.433783783783783861e+01,1.717332049064993482e-01,3.187565486052830579e+02,1.041448379823753101e-01
3.468468468468468302e+01,1.729866630606093081e-01,3.197935047067397818e+02,1.006883176441874667e-01
3.503153153153153454e+01,1.742476549499429594e-01,3.208057406809158465e+02,9.731419773026825371e-02
3.537837837837837895e+01,1.755163076160819735e-01,3.217934767334597268e+02,9.402174422178956326e-02
3.572522522522522337e+01,1.767927425954408105e-01,3.227569404632153578e+02,9.081019845593851780e-02
3.607207207207207489e+01,1.780770758138366938e-01,3.236963669673530148e+02,8.767877677548030491e-02
3.641891891891891930e+01,1.793694174827752952e-01,3.246119989221787137e+02,8.462667025939563104e-02
3.676576576576576372e+01,1.806698719985518620e-01,3.255040866386405014e+02,8.165304453785714178e-02
3.711261261261261524e+01,1.819785378452638824e-01,3.263728880916360708e+02,7.875703969453923259e-02
3.745945945945945965e+01,1.832955075028277758e-01,3.272186689223229337e+02,7.593777025891709775e-02
3.780630630630630407e+01,1.846208673610768292e-01,3.280417024127452805e+02,7.319432529084310413e-02
3.815315315315315559e+01,1.859546976409939267e-01,3.288422694322153461e+02,7.052576855927686350e-02
3.850000000000000000e+01,1.872970723241069169e-01,3.296206583550253413e+02,6.793113881657737718e-02
3.884684684684684441e+01,1.886480590910324662e-01,3.303771649492145457e+02,6.540945016928048639e-02
3.919369369369369593e+01,1.900077192701147000e-01,3.311120922362675856e+02,6.295969254573872964e-02
3.954054054054054035e+01,1.913761077970188296e-01,3.318257503218407010e+02,6.058083226049883196e-02
3.988738738738739187e+01,1.927532731861651971e-01,3.325184561976280406e+02,5.827181267454431546e-02
4.023423423423423628e+01,1.941392575146684008e-01,3.331905335149329517e+02,5.603155495019802868e-02
4.058108108108108070e+01,1.955340964195161346e-01,3.338423123304165756e+02,5.385895889858880597e-02
4.092792792792793222e+01,1.969378191085449370e-01,3.344741288248544038e+02,5.175290391713184557e-02
4.127477477477477663e+01,1.983504483857031209e-01,3.350863249958551364e+02,4.971225001379860758e-02
4.162162162162162105e+01,1.997720006909917412e-01,3.356792483256920718e+02,4.773583891434411003e-02
4.196846846846847257e+01,2.012024861553638466e-01,3.362532514255740352e+02,4.582249524807277541e-02
4.231531531531531698e+01,2.026419086707555439e-01,3.368086916578511705e+02,4.397102780715092529e-02
4.266216216216216139e+01,2.040902659753102422e-01,3.373459307378151948e+02,4.218023087393894810e-02
4.300900900900901291e+01,2.055475497537417040e-01,3.378653343169015102e+02,4.044888561031930591e-02
4.335585585585585733e+01,2.070137457526682323e-01,3.383672715492339762e+02,3.877576150254576776e-02
4.370270270270270174e+01,2.084888339106367727e-01,3.388521146435759306e+02,3.715961785474018036e-02
4.404954954954955326e+01,2.099727885024439411e-01,3.393202384028512597e+02,3.559920532382337272e-02
4.439639639639639768e+01,2.114655782972526543e-01,3.397720197534817999e+02,3.409326748838900634e-02
4.474324324324324209e+01,2.129671667299013471e-01,3.402078372668536304e+02,3.264054244381719289e-02
4.509009009009009361e+01,2.144775120847049465e-01,3.406280706752641549e+02,3.123976441578274477e-02
4.543693693693693803e+01,2.159965676909560983e-01,3.410331003847264242e+02,2.988966538424216168e-02
4.578378378378378244e+01,2.175242821292567019e-01,3.414233069870048212e+02,2.858897670998134313e-02
4.613063063063063396e+01,2.190605994477318186e-01,3.417990707732348596e+02,2.733643075588173751e-02
4.647747747747747837e+01,2.206054593871217828e-01,3.421607712514401101e+02,2.613076249519790187e-02
4.682432432432432279e+01,2.221587976136904785e-01,3.425087866701939561e+02,2.497071109935200192e-02
4.717117117117117431e+01,2.237205459588492151e-01,3.428434935505936210e+02,2.385502149802013958e-02
4.751801801801801872e+01,2.252906326643653867e-01,3.431652662286150530e+02,2.278244590461562732e-02
4.786486486486486314e+01,2.268689826320041958e-01,3.434744764098016958e+02,2.175174530066037101e-02
4.821171171171171466e+01,2.284555176764456186e-01,3.437714927381097709e+02,2.076169087296676416e-02
4.855855855855855907e+01,2.300501567803200087e-01,3.440566803805914446e+02,1.981106539802809582e-02
4.890540540540540349e+01,2.316528163502213078e-01,3.443304006294429769e+02,1.889866456852328999e-02
4.925225225225225500e+01,2.332634104725775648e-01,3.445930105227856188e+02,1.802329825738112346e-02
4.959909909909909942e+01,2.348818511682932431e-01,3.448448624853784850e+02,1.718379171540480865e-02
4.994594594594595094e+01,2.365080486451187625e-01,3.450863039902907303e+02,1.637898669903075852e-02
5.029279279279279535e+01,2.381419115467500736e-01,3.453176772423880720e+02,1.560774252537304452e-02
5.063963963963963977e+01,2.397833471977198483e-01,3.455393188843154348e+02,1.486893705228177660e-02
5.098648648648649129e+01,2.414322618431996026e-01,3.457515597254850945e+02,1.416146758171638910e-02
5.133333333333333570e+01,2.430885608829028155e-01,3.459547244944128011e+02,1.348425168529071225e-02
5.168018018018018012e+01,2.447521490983458614e-01,3.461491316145834389e+02,1.283622795138856208e-02
5.202702702702703164e+01,2.464229308727979295e-01,3.463350930038707816e+02,1.221635665376489058e-02
5.237387387387387605e+01,2.481008104033285144e-01,3.465129138973894669e+02,1.162362034203595802e-02
5.272072072072072046e+01,2.497856919044302293e-01,3.466828926935232289e+02,1.105702435492359782e-02
5.306756756756757198e+01,2.514774798027805680e-01,3.468453208227384721e+02,1.051559725753937503e-02
5.341441441441441640e+01,2.531760789227711639e-01,3.470004826386841046e+02,9.998391204387132788e-03
5.376126126126126081e+01,2.548813946625155258e-01,3.471486553309671876e+02,9.504482230110036789e-03
5.410810810810811233e+01,2.565933331601106260e-01,3.472901088589033520e+02,9.032970470322976286e-03
5.445495495495495675e+01,2.583118014500007109e-01,3.474251059054574284e+02,8.582980315142567027e-03
5.480180180180180116e+01,2.600367076093571539e-01,3.475539018505218678e+02,8.153660498261170245e-03
5.514864864864865268e+01,2.617679608944460945e-01,3.476767447626178296e+02,7.744184124607818298e-03
5.549549549549549710e+01,2.635054718670180041e-01,3.477938754080613535e+02,7.353748639795955160e-03
5.584234234234234151e+01,2.652491525108023884e-01,3.479055272765958762e+02,6.981575744681002907e-03
5.618918918918919303e+01,2.669989163382438524e-01,3.480119266224687635e+02,6.626911258437936936e-03
5.653603603603603744e+01,2.687546784876547190e-01,3.481132925199123065e+02,6.289024933626190944e-03
5.688288288288288186e+01,2.705163558110057487e-01,3.482098369319801350e+02,5.967210226733175339e-03
5.722972972972973338e+01,2.722838669526035371e-01,3.483017647916936426e+02,5.660784027688196655e-03
5.757657657657657779e+01,2.740571324189419178e-01,3.483892740944572779e+02,5.369086351809453442e-03
5.792342342342342221e+01,2.758360746400332908e-01,3.484725560007204308e+02,5.091479997598965558e-03
5.827027027027027373e+01,2.776206180225525011e-01,3.485517949478812056e+02,4.827350173729524907e-03
5.861711711711711814e+01,2.794106889951407102e-01,3.486271687704556825e+02,4.576104098481240633e-03
5.896396396396396256e+01,2.812062160462331373e-01,3.486988488275654845e+02,4.337170574782036638e-03
5.931081081081081408e+01,2.830071297547809839e-01,3.487670001368325643e+02,4.109999543891977927e-03
5.965765765765765849e+01,2.848133628142486828e-01,3.488317815138066180e+02,3.894061620645047819e-03
6.000450450450450290e+01,2.866248500502677210e-01,3.488933457160918010e+02,3.688847613027819352e-03
6.035135135135135442e+01,2.884415284323327278e-01,3.489518395913799509e+02,3.493868028733790754e-03
6.069819819819819884e+01,2.902633370799197476e-01,3.490074042286440203e+02,3.308652571187042576e-03
6.104504504504504325e+01,2.920902172634066152e-01,3.490601751117860090e+02,3.132749627380251260e-03
6.139189189189189477e+01,2.939221124001665797e-01,3.491102822750831933e+02,2.965725749722816166e-03
6.173873873873873919e+01,2.957589680461992776e-01,3.491578504598165864e+02,2.807165133944999544e-03
6.208558558558559071e+01,2.976007318836547677e-01,3.492029992715133631e+02,2.656669094955541217e-03
6.243243243243243512e+01,2.994473537045943545e-01,3.492458433372789273e+02,2.513855542403795225e-03
6.277927927927927954e+01,3.012987853913215441e-01,3.492864924627336904e+02,2.378358457554558599e-03
6.312612612612613106e+01,3.031549808936022106e-01,3.493250517881167525e+02,2.249827372944327580e-03
6.347297297297297547e+01,3.050158962030814491e-01,3.493616219431540912e+02,2.127926856153297599e-03
6.381981981981981988e+01,3.068814893251900489e-01,3.493962992003307022e+02,2.012335998897690770e-03
6.416666666666667140e+01,3.087517202488198054e-01,3.494291756262430795e+02,1.902747912523225808e-03
6.451351351351351582e+01,3.106265509140310743e-01,3.494603392307413401e+02,1.798869230862290471e-03
6.486036036036036023e+01,3.125059451780449193e-01,3.494898741136084368e+02,1.700419621305239784e-03
6.520720720720720465e+01,3.143898687797515579e-01,3.495178606085507909e+02,1.607131304830642423e-03
6.555405405405404906e+01,3.162782893029619236e-01,3.495443754243082708e+02,1.518748585639265918e-03
6.590090090090090769e+01,3.181711761386047388e-01,3.495694917827168524e+02,1.435027390943801381e-03
6.624774774774775210e+01,3.200685004460644412e-01,3.495932795535863420e+02,1.355734821378944827e-03
6.659459459459459651e+01,3.219702351138412078e-01,3.496158053862753263e+02,1.280648712415600153e-03
6.694144144144144093e+01,3.238763547196980563e-01,3.496371328378735939e+02,1.209557207088183617e-03
6.728828828828828534e+01,3.257868354904495112e-01,3.496573224979175620e+02,1.142258340274892410e-03
6.763513513513514397e+01,3.277016552615356626e-01,3.496764321095878358e+02,1.078559634707279341e-03
6.798198198198198838e+01,3.296207934365094627e-01,3.496945166873516655e+02,1.018277708827663823e-03
6.832882882882883280e+01,3.315442309465601034e-01,3.497116286310319992e+02,9.612378965599231847e-04
6.867567567567567721e+01,3.334719502101765598e-01,3.497278178362965946e+02,9.072738790115222060e-04
6.902252252252252163e+01,3.354039350930542729e-01,3.497431318015756574e+02,8.562273280812264520e-04
6.936936936936936604e+01,3.373401708683317901e-01,3.497576157314274496e+02,8.079475619084003921e-04
6.971621621621622467e+01,3.392806441772377446e-01,3.497713126363804577e+02,7.622912120650430536e-04
7.006306306306306908e+01,3.412253429902197266e-01,3.497842634292916841e+02,7.191219023611217795e-04
7.040990990990991349e+01,3.431742565686193847e-01,3.497965070182680165e+02,6.783099391065897880e-04
7.075675675675675791e+01,3.451273754269494898e-01,3.498080803962050140e+02,6.397320126499646872e-04
7.110360360360360232e+01,3.470846912958213681e-01,3.498190187270021738e+02,6.032709099927255304e-04
7.145045045045044674e+01,3.490461970855672225e-01,3.498293554285216374e+02,5.688152382612406740e-04
7.179729729729730536e+01,3.510118868505927581e-01,3.498391222523591182e+02,5.362591588030161775e-04
7.214414414414414978e+01,3.529817557544914219e-01,3.498483493605015155e+02,5.055021316616328895e-04
7.249099099099099419e+01,3.549558000359465115e-01,3.498570653989476682e+02,4.764486701745300500e-04
7.283783783783783861e+01,3.569340169754436354e-01,3.498652975683710906e+02,4.490081054296714844e-04
7.318468468468468302e+01,3.589164048628065706e-01,3.498730716919067163e+02,4.230943603109355998e-04
7.353153153153152743e+01,3.609029629655752802e-01,3.498804122801427638e+02,3.986257328574203647e-04
7.387837837837838606e+01,3.628936914982294759e-01,3.498873425934023089e+02,3.755246886589454257e-04
7.422522522522523047e+01,3.648885915922676637e-01,3.498938847013974964e+02,3.537176620083195568e-04
7.457207207207207489e+01,3.668876652671420047e-01,3.499000595403394982e+02,3.331348655305695376e-04
7.491891891891891930e+01,3.688909154020534320e-01,3.499058869675959045e+02,3.137101080099776200e-04
7.526576576576576372e+01,3.708983457085957558e-01,3.499113858139577928e+02,2.953806201375658454e-04
7.561261261261260813e+01,3.729099607042563047e-01,3.499165739336280012e+02,2.780868879039740120e-04
7.595945945945946676e+01,3.749257656867556188e-01,3.499214682519894382e+02,2.617724933661997417e-04
7.630630630630631117e+01,3.769457667092256936e-01,3.499260848112432996e+02,2.463839625204165351e-04
7.665315315315315559e+01,3.789699705562113441e-01,3.499304388139942148e+02,2.318706200177026128e-04
7.700000000000000000e+01,3.809983847204878038e-01,3.499345446648602547e+02,2.181844504644208206e-04
7.734684684684684441e+01,3.830310173806786844e-01,3.499384160101833459e+02,2.052799660544334136e-04
7.769369369369368883e+01,3.850678773796640808e-01,3.499420657759138749e+02,1.931140802860224672e-04
7.804054054054054745e+01,3.871089742037597259e-01,3.499455062037429798e+02,1.816459875224482004e-04
7.838738738738739187e+01,3.891543179626584248e-01,3.499487488855514243e+02,1.708370481612287936e-04
7.873423423423423628e+01,3.912039193701122297e-01,3.499518047962446872e+02,1.606506791837145336e-04
7.908108108108108070e+01,3.932577897253418664e-01,3.499546843250409438e+02,1.510522498629932140e-04
7.942792792792792511e+01,3.953159408951560372e-01,3.499573973052754354e+02,1.420089824148052947e-04
7.977477477477478374e+01,3.973783852967643915e-01,3.499599530427850596e+02,1.334898573827980682e-04
8.012162162162162815e+01,3.994451358812646791e-01,3.499623603429330956e+02,1.254655235561408840e-04
8.046846846846847257e+01,4.015162061177893205e-01,3.499646275363326708e+02,1.179082122241745641e-04
8.081531531531531698e+01,4.035916099782922428e-01,3.499667625033261515e+02,1.107916555794132691e-04
8.116216216216216139e+01,4.056713619229574408e-01,3.499687726972738915e+02,1.040910090867892536e-04
8.150900900900900581e+01,4.077554768862149959e-01,3.499706651667069082e+02,9.778277764351058670e-05
8.185585585585586443e+01,4.098439702633431270e-01,3.499724465763919170e+02,9.184474536032976883e-05
8.220270270270270885e+01,4.119368578976421724e-01,3.499741232273595983e+02,8.625590880128965513e-05
8.254954954954955326e+01,4.140341560681602417e-01,3.499757010759424247e+02,8.099641352520476928e-05
8.289639639639639768e+01,4.161358814779574922e-01,3.499771857518665570e+02,7.604749377816199336e-05
8.324324324324324209e+01,4.182420512428874360e-01,3.499785825754423172e+02,7.139141519224631441e-05
8.359009009009008651e+01,4.203526828808830662e-01,3.499798965738945640e+02,6.701142035143963633e-05
8.393693693693694513e+01,4.224677943017287607e-01,3.499811324968725899e+02,6.289167709125893335e-05
8.428378378378378954e+01,4.245874037973034754e-01,3.499822948311787059e+02,5.901722940414762264e-05
8.463063063063063396e+01,4.267115300322785187e-01,3.499833878147516089e+02,5.537395082793210895e-05
8.497747747747747837e+01,4.288401920352561958e-01,3.499844154499400588e+02,5.194850019978716668e-05
8.532432432432432279e+01,4.309734091903320019e-01,3.499853815161010289e+02,4.872827966313277183e-05
8.567117117117116720e+01,4.331112012290688207e-01,3.499862895815541037e+02,4.570139481969248501e-05
8.601801801801802583e+01,4.352535882228648623e-01,3.499871430149228786e+02,4.285661692360474877e-05
8.636486486486487024e+01,4.374005905757064050e-01,3.499879449958942814e+02,4.018334701896010124e-05
8.671171171171171466e+01,4.395522290172870217e-01,3.499886985254220804e+02,3.767158192648389399e-05
8.705855855855855907e+01,4.417085245964836870e-01,3.499894064354032253e+02,3.531188198925578069e-05
8.740540540540540349e+01,4.438694986751750005e-01,3.499900713978526028e+02,3.309534049138475559e-05
8.775225225225224790e+01,4.460351729223891448e-01,3.499906959335997954e+02,3.101355466743513335e-05
8.809909909909910652e+01,4.482055693087720338e-01,3.499912824205327411e+02,2.905859822412009766e-05
8.844594594594595094e+01,4.503807101013593828e-01,3.499918331014102364e+02,2.722299529937005944e-05
8.879279279279279535e+01,4.525606178586474848e-01,3.499923500912638019e+02,2.549969578731340310e-05
8.913963963963963977e+01,4.547453154259443187e-01,3.499928353844117055e+02,2.388205196102211023e-05
8.948648648648648418e+01,4.569348259309981009e-01,3.499932908611015705e+02,2.236379632803286858e-05
8.983333333333334281e+01,4.591291727798869071e-01,3.499937182938029991e+02,2.093902065670235902e-05
9.018018018018018722e+01,4.613283796531633674e-01,3.499941193531656722e+02,1.960215611436325427e-05
9.052702702702703164e+01,4.635324705022429992e-01,3.499944956136616838e+02,1.834795446104107877e-05
9.087387387387387605e+01,4.657414695460268539e-01,3.499948485589264351e+02,1.717147024516252381e-05
9.122072072072072046e+01,4.679554012677507036e-01,3.499951795868149134e+02,1.606804395024468804e-05
9.156756756756756488e+01,4.701742904120517763e-01,3.499954900141867711e+02,1.503328604400044332e-05
9.191441441441442350e+01,4.723981619822444356e-01,3.499957810814348704e+02,1.406306188363724490e-05
9.226126126126126792e+01,4.746270412377955328e-01,3.499960539567700266e+02,1.315347743336286989e-05
9.260810810810811233e+01,4.768609536919960479e-01,3.499963097402743415e+02,1.230086575224787371e-05
9.295495495495495675e+01,4.790999251098161382e-01,3.499965494677362017e+02,1.150177421264072937e-05
9.330180180180180116e+01,4.813439815059409321e-01,3.499967741142766045e+02,1.075295241127831010e-05
9.364864864864864558e+01,4.835931491429763529e-01,3.499969845977788623e+02,1.005134073709908134e-05
9.399549549549550420e+01,4.858474545298234193e-01,3.499971817821315767e+02,9.394059561540822631e-06
9.434234234234234862e+01,4.881069244202085322e-01,3.499973664802943745e+02,8.778399018803312629e-06
9.468918918918919303e+01,4.903715858113690262e-01,3.499975394571964671e+02,8.201809345170447057e-06
9.503603603603603744e+01,4.926414659428852705e-01,3.499977014324755942e+02,7.661891748030368244e-06
9.538288288288288186e+01,4.949165922956546004e-01,3.499978530830670138e+02,7.156389776701459292e-06
9.572972972972972627e+01,4.971969925910015853e-01,3.499979950456494180e+02,6.683181168573077189e-06
9.607657657657658490e+01,4.994826947899188019e-01,3.499981279189563566e+02,6.240270145404995049e-06
9.642342342342342931e+01,5.017737270924348403e-01,3.499982522659592519e+02,5.825780135900954878e-06
9.677027027027027373e+01,5.040701179371038787e-01,3.499983686159294507e+02,5.437946901882678470e-06
9.711711711711711814e+01,5.063718960006106107e-01,3.499984774663860208e+02,5.075112046544755461e-06
9.746396396396396256e+01,5.086790901974899137e-01,3.499985792849346922e+02,4.735716884366804312e-06
9.781081081081080697e+01,5.109917296799534325e-01,3.499986745110039692e+02,4.418296653305736694e-06
9.815765765765766560e+01,5.133098438378214112e-01,3.499987635574847218e+02,4.121475050884139099e-06
9.850450450450451001e+01,5.156334622985548899e-01,3.499988468122769518e+02,3.843959076736739253e-06
9.885135135135135442e+01,5.179626149273857116e-01,3.499989246397504417e+02,3.584534165076569976e-06
9.919819819819819884e+01,5.202973318273571568e-01,3.499989973822189313e+02,3.342059591416397376e-06
9.954504504504504325e+01,5.226376433403944199e-01,3.499990653608373350e+02,3.115464138562319976e-06
9.989189189189190188e+01,5.249835800465183500e-01,3.499991288774621694e+02,2.903742008077998776e-06
